Country,City,Code
 AK ,Deering,DRG
 Syria - Al Jafrah ,Deirezzor,DEZ
 TX ,Del Reo,DRT
 India ,Delhi,DEL
 NT ,Deline,YWJ
 AK ,Delta Junction,DJN
 Ethiopia ,Dembidollo,DEM
 Australia ,Denham,DNM
 Turkey ,Denizli,DNZ
 Indonesia ,Denpasar Bali,DPS
 CO - International ,Denver,DEN
 CO - Longmont Bus service ,Denver,QWM
 Pakistan ,Dera Ghazi,DEA
 Pakistan ,Dera Ismail Khan,DSK
 Australia ,Derby,DRB
 Papua New Guinea ,Derim,DER
 IA ,Des Moines,DSM
 Ethiopia ,Dessie,DSE
 MI - All airports ,Detroit,DTT
 MI - Metro/Wayne County ,Detroit,DTW
 ND ,Devil's Lake,DVL
 Australia ,Devonport,DPO
 Bangledesh - Zia International ,Dhaka,DAC
 India ,Dibrugarn,DIB
 ND ,Dickinson,DIK
 Viet Nam - Gialam ,Dien Bien Phu,DIN
 France ,Dijon,DIJ
 Indonesia ,Dili,DIL
 AK ,Dillingham,DLG
 Vanuata ,Dillons Bay,DLY
 India ,Dimapur,DMU
 France ,Dinard,DNR
 Philippines ,Dipolog,DPL
 Ethiopia ,Dire Dawa,DIR
 India ,Div,DIU
 Turkey ,Diyarbakir,DIY
 Algeria ,Djanet,DJG
 Tunisia ,Djerba,DJE
 Djibouti ,Djibouti,JIB
 Ukraine ,Dnepropetrovsk,DNK
 Indonesia ,Dobo,DOB
 KS ,Dodge City,DDC
 Papua New Guinea ,Dodoima,DDM
 Tanzania ,Dodoma,DOD
 Qatar ,Doha,DOH
 Dominica - Cane Field ,Dominica,DCF
 Dominica - Melville Hall ,Dominica,DOM
 Ireland ,Donegal,CFN
 Ukraine ,Donetsk,DOK
 Sudan ,Dongola,DOG
 Australia ,Doomadgee,DMD
 Germany ,Dortmund,DTM
 AL ,Dothan,DHN
 Brazil ,Dourados,DOU
 Cameroon ,Dovala,DLA
 Germany ,Dresden,DRS
 QC - Rail service ,Drummondville,XDM
 ON ,Dryden,YHD
 United Arab Emirates - Bus Station ,Dubai,XNB
 United Arab Emirates - International ,Dubai,DXB
 Australia ,Dubbo,DBO
 Ireland ,Dublin,DUB
 PA ,Dubois,DUJ
 Croatia ,Dubrovnik,DBV
 IA ,Dubuque,DBQ
 MN ,Duluth,DLH
 Philippines ,Dumaguete,DGT
 Indonesia ,Dumai,DUM
 BC ,Duncan/Quam,DUQ
 United Kingdom ,Dundee,DND
 New Zealand ,Dunedin,DUD
 China ,Dunhuang,DNH
 Australia ,Dunk Island,DKI
 CO ,Durango,DRO
 Mexico ,Durango,DGO
 South Africa ,Durban,DUR
 NC ,Durham,RDU
 NC ,Durham/Raleigh,RDU
 Tajikistan ,Dushanbe,DYU
 Germany - International ,Dusseldorf,DUS
 Germany - Moenchen-Gl. ,Dusseldorf,MGL
 Germany - Rail service ,Dusseldorf,QDU
 AK ,Dutch Harbor,DUT
 Mayotte ,Dzaoudzi,DZA
 South Africa ,East London,ELS
 QC ,East Main,ZEM
 PA ,Easton,ABE
 WI ,Eau Claire,EAU
 Marshall Islands ,Ebon,EBO
 United Kingdom ,Eday,EOI
 United Kingdom ,Edinburgh,EDI
 AB - International ,Edmonton,YEG
 AB - Rail service ,Edmonton,XZL
 AK ,Edna Bay,EDA
 Turkey ,Edremit,EDO
 Australia ,Edward River,EDR
 AK ,Eek,EEK
 Iceland ,Egilsstadir,EGS
 Netherlands ,Eindhoven,EIN
 Germany ,Eisenach,EIB
 Russia ,Ekaterinburg,SVX
 AK ,Ekuk,KKU
 AK ,Ekwok,KEK
 Argentina ,El Bolsan,EHL
 CA ,El Centro,IPL
 AR ,El Dorado,ELD
 Sudan ,El Fasher,ELF
 Argentina ,El Maiten,EMX
 Sudan ,El Obeid,EBD
 Algeria ,El Oved,ELU
 TX ,El Paso,ELP
 Dominician Republic - El Portillo,El Portillo/Samana,EPS
 Panama ,El Real,ELE
 Chile ,El Salvador,ESR
 Venezuela ,El Vigia,VIG
 Colombia ,El Yopal,EYP
 Italy ,Elat,ETH
 Turkey ,Elazig,EZS
 Italy ,Elba Island,EBA
 Australia ,Elcho Island,ELC
 Kenya ,Eldoret,EDL
 Bahamas ,Eleuthera Island,ELH
 AK ,Elfin Cove,ELV
 AK ,Elim,ELI
 Russia ,Elista,ESL
 NV ,Elko,EKO
 NY ,Elmira,ELM
 MN ,Ely,LYU
 Vanuata ,Emae,EAE
 Papua New Guinea ,Embessa,EMS
 Australia ,Emerald,EMD
 AK ,Emmonak,EMK
 Papua New Guinea ,Emo,EMO
 Indonesia ,Enarotali,EWI
 Indonesia ,Ende,ENE
 NY ,Endicott,BGM
 Marshall Islands ,Enewetak Island,ENT
 OK ,Enid,WDG
 Finland ,Enontekio,ENF
 China ,Enshi,ENH
 Uganda ,Entebbe,EBB
 Nigeria ,Enugu,ENU
 France ,Epinal,EPL
 Cyprus ,Ercan,ECN
 Germany ,Erfurt,ERF
 PA ,Erie,ERI
 Turkey ,Erzincan,ERC
 Turkey ,Erzurum,ERZ
 Denmark - Esbjerg Airport ,Esbjerg,EBJ
 Denmark - Rail service ,Esbjerg,ZBB
 MI ,Escanaba,ESC
 Ecuador ,Esmeraldas,ESM
 Australia ,Esperance,EPR
 Vanuatu ,Espiritu Santo,SON
 Argentina ,Esquel,EQS
 BC ,Esquimalt,YPF
 OR ,Eugene,EUG
 NV ,Eureka,EUE
 CA ,Eureka/Arcata,ACV
 IN ,Evansville,EVV
 United Kingdom ,Eveter,EXT
 Indonesia ,Ewer,EWE
 Australia ,Exmouth Gulf,EXM
 Norway ,Fagernes,VDB
 United Kingdom ,Fair Isle,FIE
 AK ,Fairbanks,FAI
 Pakistan ,Faisalabad,LYP
 Puerto Rico ,Fajard,FAJ
 Indonesia ,Fak Fak,FKQ
 French Polynesia ,Fakarava,FAV
 Madagascar ,Farafangana,RVA
 ND ,Fargo,FAR
 NM ,Farmington,FMN
 Portugal ,Faro,FAO
 Faroe Islands ,Faroe Islands,FAE
 AR - Municipal/Drake ,Fayetteville,FYV
 AR - Northwest Arkansas Regional ,Fayetteville,XNA
 NC ,Fayetteville,FAY
 Solomon Islands ,Fera Island,FRE
 Uzbekistan ,Fergana,FEG
 Brazil ,Fernando De Noronha,FEN
 Morocco ,Fez,FEZ
 Madagascar ,Fianarantsoa,WFI
 France ,Figari,FSC
 United Kingdom ,Filton,FZO
 Germany ,Finkenwerder,XFW
 Australia ,Fitzroy Crossing,FIZ
 AZ ,Flagstaff,FLG
 Germany ,Flensburg,FLF
 MB ,Flin Flon,YFO
 MI ,Flint,FNT
 Italy - Gal Galilei ,Florence,PSA
 Italy - Peretola ,Florence,FLR
 SC ,Florence,FLO
 AL ,Florence/Muscle Shoals/Sheffield,MSL
 Colombia ,Florencia,FLA
 Portugal ,Flores Island,FLW
 Guatemala ,Flores,FRS
 Brazil ,Florianopolis,FLN
 Norway ,Floro,FRO
 Italy ,Foggia,FOG
 SK ,Fond du Lac,ZFD
 Norway ,Forde,FDE
 Argentina ,Formosa,FMA
 ON ,Fort Albany,YFA
 AB ,Fort Chipewyan,YPY
 CO - Bus service ,Fort Collins/Loveland,QWF
 CO - Municipal Airport ,Fort Collins/Loveland,FNL
 Madagascar ,Fort Dauphin,FTU
 Martinique ,Fort De France,FDF
 IA ,Fort Dodge,FOD
 ON ,Fort Frances,YAG
 NT ,Fort Good Hope,YGH
 ON ,Fort Hope,YFH
 FL ,Fort Lauderdale,FLL
 MO ,Fort Leonard Wood,TBN
 AB ,Fort Mcmurray,YMM
 FL ,Fort Myers,RSW
 BC ,Fort Nelson,YYE
 ON ,Fort Severn,YER
 NT ,Fort Simpson,YFS
 AR ,Fort Smith,FSM
 NT ,Fort Smith,YSM
 BC ,Fort St John,YXJ
 FL ,Fort Walton Beach,VPS
 IN ,Fort Wayne,FWA
 TX ,Fort Worth/Dallas,DFW
 Brazil ,Fortaleza,FOR
 NL ,Fox Harbour/St Lewis,YFX
 Brazil ,Franca,FRC
 Gabon ,Franceville,MVB
 Botswana ,Francistown,FRW
 Germany - Hahn ,Frankfurt,HHN
 Germany - International ,Frankfurt,FRA
 PA ,Franklin,FKL
 Denmark ,Fredericia,ZBJ
 NB - Rail service ,Fredericton Junction,XFC
 NB ,Fredericton,YFC
 Bahamas ,Freeport,FPO
 Sierra Leone - Lungi Intl ,Freetown,FNA
 CA ,Fresno,FAT
 Germany ,Friedrichshafer,FDH
 Spain ,Fuerteventura,FUE
 Japan ,Fukue,FUJ
 Japan ,Fukuoka,FUK
 Japan ,Fukushima,FKS
 Tuvalu ,Funafuti Atol,FUN
 Portugal ,Funchal,FNC
 Vanuatu ,Futuna Island,FTA
 Wallis and Futuna Islands ,Futuna Island,FUT
 China ,Fuyang,FUG
 China ,Fuzhou,FOC
 Botswana ,Gaborone,GBE
 Tunisia ,Gafsa,GAF
 Cote D'Ivoire ,Gagnoa,GGN
 FL ,Gainesville,GNV
 Ecuador ,Galapagos,GPS
 Sweden ,Gallivare,GEV
 NM ,Gallup,GUP
 Ireland ,Galway,GWY
 Gabon ,Gamba,GAX
 Ethiopia ,Gambela,GMB
 Maldives ,Gan Island,GAN
 NL ,Gander,YQX
 South Korea ,Gangneung,KAG
 Panama ,Garachine,GHE
 Papua New Guinea ,Garaina,GAR
 Papua New Guinea ,Garasa,GRL
 KS ,Garden City,GCK
 Australia ,Garden Point,GPN
 Cameroon ,Garoua,GOV
 IN ,Gary,GYY
 QC ,Gaspe,YGP
 QC - Rail service ,Gaspe,XDD
 Saudi Arabia ,Gassim,ELQ
 Vanuatu ,Gaua,ZGU
 India ,Gawahati,GAU
 Occupied Palestinian Territory ,Gaza City,GZA
 Turkey ,Gaziatep,GZT
 Poland ,Gdansk,GDN
 Indonesia ,Gebe,GEB
 Russia ,Gelendzik,GDZ
 Sudan ,Geneina,EGN
 Philippines ,General Santos,GES
 Switzerland ,Geneva,GVA
 Italy ,Genoa,GOA
 Bahamas ,George Town,GGT
 South Africa ,George,GRJ
 Guyana ,Georgetown,GEO
 ON - Rail service ,Georgetown,XHM
 Australia,Geraldton,GET
 Spain ,Gerona,GRO
 QC ,Gethsemani,ZGS
 Libya ,Ghadames,LTD
 Algeria ,Ghardala,GHA
 Libya ,Ghat,GHT
 Gibraltar ,Gibraltar,GIB
 Pakistan ,Gilgit,GIL
 MB ,Gillam,YGX
 WY ,Gillette,GCC
 BC ,Gillies Bay,YGB
 New Zealand ,Gisborne,GIS
 Saudi Arabia ,Gizan,GIZ
 Solomon Islands ,Gizo,GZO
 NU ,Gjoa Haven,YHK
 TX ,Gladewater/Kilgore,GGG
 Australia ,Gladstone,GLT
 MT ,Glasgow,GGW
 United Kingdom - Glasgow International ,Glasgow,GLA
 United Kingdom - Prestwick ,Glasgow,PIK
 Australia ,Glen Innes,GLI
 ON - Rail service ,Glencoe,XZC
 MT ,Glendive,GDV
 India ,Goa,GOI
 Ethiopia ,Goba,GOB
 Argentina ,Gobernador Gregores,GGS
 Ethopia ,Gode/Iddidole,GDE
 MB ,Gods Narrows,YGO
 MB ,Gods River,ZGI
 Brazil ,Goiania,GYN
 Australia,Gold Coast,OOL
 Costa Rica ,Golfito,GLF
 China ,Golmud,GOQ
 AK ,Golovin,GLV
 Papua New Guinea ,Gonalia,GOE
 Ethiopia ,Gondari,GDQ
 AK ,Goodnews Bay,GNU
 NL ,Goose Bay,YYR
 Ethiopia ,Gore,GOR
 Papua New Guinea ,Goroka,GKA
 Indonesia ,Gorontalo,GTO
 Sweden - Landvetter ,Gothenburg,GOT
 Sweden - Saeve ,Gothenburg,GSE
 Australia ,Goulburn Island,GBL
 Mali ,Goundam,GUD
 Australia ,Gove,GOV
 Brazil ,Governador Valadares,GVR
 Bahamas ,Governors Harbour,GHB
 Argentina ,Goya,OYA
 Malta ,Gozo,GZM
 Portugal ,Graciosa Island,GRW
 Australia ,Grafton,GFN
 Spain ,Granada,GRX
 AZ - Heliport ,Grand Canyon,JGC
 AZ - National Park ,Grand Canyon,GCN
 Cayman Islands ,Grand Cayman,GCM
 ND ,Grand Forks,GFK
 NE ,Grand Island,GRI
 CO ,Grand Junction,GJT
 MI ,Grand Rapids,GRR
 MN ,Grand Rapids,GPZ
 Turks and Caicos Islands ,Grand Turk Island,GDT
 AB ,Grande Prairie,YQU
 AK ,Grayling,KGX
 Austria ,Graz,GRZ
 MT ,Great Falls,GTF
 WI ,Green Bay,GRB
 NC ,Greensboro,GSO
 MS ,Greenville,GLH
 NC ,Greenville,PGV
 SC ,Greenville/Spartanburg,GSP
 Grenada,Grenada,GND
 France ,Grenoble,GNB
 Australia ,Griffith,GFF
 ON ,Grimsby,XGY
 Iceland ,Grimsey,GRY
 NU ,Grise Fiord,YGZ
 Greenland ,Groennedal,JGR
 Netherlands ,Groningen,GRQ
 Australia ,Groofe Eylandt,GTE
 CT ,Groton/New London,GON
 Mexico ,Guadalajara,GDL
,Guam ,GUM
 Honduras ,Guanaja,GJA
 Mexico ,Guanajuato,BJX
 China ,Guangzhou,CAN
 Cuba ,Guantanamo,GAO
 Guatemala ,Guatemala City,GUA
 Ecuador ,Guayaquil,GYE
 Bolivia ,Guayaramerin,GYA
 Mexico ,Guaymas,GYM
 ON - Rail service ,Guelph,XIA
 United Kingdom ,Guernsey,GCI
 Mexico ,Guerrero Negro,GUB
 China ,Guilin,KWL
 Venezuela ,Guiria,GUI
 MS ,Gulfport,GPT
 Uganda ,Gulu,ULU
 China ,Gulyang,KWE
 CO ,Gunnison,GUC
 South Korea ,Gunsan,KUV
 Saudi Arabia ,Gurayat,URY
 AK ,Gustavus,GST
 Pakistan ,Gwadar,GWD
 India ,Gwalior,GWL
 South Korea ,Gwangju,KWJ
 Azerbaijan ,Gyandzha,KVD
 Armenia ,Gyourmri,LWN
 Tonga ,HaApa,HPA
 Japan ,Hachijo Jima,HAC
 MD ,Hagerstown,HGR
 Sweden ,Hagfors,HFS
 Israel ,Haifa,HFA
 China ,Haikou,HAK
 Saudi Arabia ,Hail,HAS
 China ,Hailar,HLD
 ID ,Hailey,SUN
 AK ,Haines,HNS
 Viet Nam - Catbi ,Haiphong,HPH
 Japan ,Hakodate,HKD
 Germany ,Halberstadt,ZHQ
 NS - International ,Halifax,YHZ
 NS - Rail service ,Halifax,XDG
 NU ,Hall Beach,YUX
 Australia ,Halls Creek,HCQ
 Sweden ,Halmstad,HAD
 Germany - Fuhisbuettel ,Hamburg,HAM
 Germany - Luebeck ,Hamburg,LBC
 Australia ,Hamilton Island,HTI
 Bermuda ,Hamilton,BDA
 New Zealand ,Hamilton,HLZ
 ON ,Hamilton,YHM
 Norway ,Hammerfest,HFT
 VA ,Hampton,PHF
 HI - Island of Maui ,Hana,HNM
 HI ,Hanapepe,PAK
 MI ,Hancock,CMX
 China ,Hangzhou,HGH
 Maldives ,Hanimaadhoo,HAQ
 Viet Nam - Noibai ,Hanoi,HAN
 Germany ,Hanover,HAJ
 NH ,Hanover,LEB
 China ,Hanzhang,HZG
 Zimbabwe ,Harare,HRE
 China ,Harbin,HRB
 Somolia ,Hargeisa,HGA
 TX ,Harlingen,HRL
 PA ,Harrisburg,MDT
 AR ,Harrison,HRO
 Norway ,Harstad-Narvik,EVE
 CT ,Hartford,BDL
 Algeria ,Hassi Messaoud,HME
 Norway ,Hasvik,HAA
 Thailand ,Hat Yai,HDY
 Japan ,Hateruma,HTR
 Norway ,Haugesund,HAU
 Cuba ,Havana,HAV
 AZ ,Havasupai,HAE
 QC ,Havre St Pierre,YGV
 MT ,Havre,HVR
 NT ,Hay River,YHY
 CO ,Hayden,HDN
 Australia ,Hayman Island,HIS
 KS ,Hays,HYS
 AK ,Healy Lake,HKB
 China ,Hefei,HFE
 Germany ,Heidelberg,HDB
 MT ,Helena,HLN
 Germany ,Helgoland,HGL
 Finland ,Helsinki,HEL
 NC ,Hendersonville,AVL
 Myanmar ,Heno,HEH
 Greece ,Heraklian,HER
 Germany ,Heringsdorf,HDF
 Sweden ,Hermavan,HMV
 Mexico ,Hermosillo,HMO
 Denmark ,Herning,XAK
 Australia ,Hervey Bay,HVB
 QC - Rail service ,Hervey,XDU
 MN ,Hibbing/Chisholm,HIB
 NC ,Hickory,HKY
 AB ,High Level,YOJ
 NC ,High Point,GSO
 HI - Island of Hawaii ,Hilo,ITO
 SC ,Hilton Head,HHH
 Japan - Hiroshima West ,Hiroshima,HIW
 Japan - International ,Hiroshima,HIJ
 Papua New Guinea ,Hivaro,HIT
 Viet Nam ,Ho Chi Minh City,SGN
 Australia ,Hobart,HBA
 NM ,Hobbs,HBB
 Yemen ,Hodeidah,HOD
 South Africa ,Hoedspruit,HDS
 Germany ,Hof,HOQ
 Saudi Arabia ,Hofuf,HOF
 China ,Hohhot,HET
 New Zealand ,Hokitika,HKK
 Cuba ,Holguin,HOG
 AK ,Hollis,HYL
 NT ,Holman,YHI
 AK ,Holy Cross,HCR
 AK ,Homer,HOM
 Hong Kong ,Hong Kong,HKG
 Solomon Islands ,Honiara,HIR
 Norway ,Honningsvag,HVG
 HI - Island of Oahu ,Honolulu,HNL
 Australia ,Hooker,HOK
 HI - Island of Molokai ,Hoolehua,MKK
 AK ,Hoonah,HNH
 AK ,Hooper Bay,HPB
 NL ,Hopedale,YHO
,Horn Island Australia ,HID
 Iceland ,Hornafjordur,HFN
 Portugal ,Horta,HOR
 Papua New Guinea ,Hoskins,HKN
 AR ,Hot Springs,HOT
 China ,Hotan,HTN
 Laos ,Houeisay,HOE
 Libya ,Houn,HUQ
 BC - Bus station ,Houston,ZHO
 TX - All airports ,Houston,HOU
 TX - Hobby ,Houston,HOU
 TX - Intercontinental ,Houston,IAH
 French Polynesia ,Huahine,HUH
 Taiwan - Phi Bai ,Hualien,HUN
 Thailand ,Hualtin,HHQ
 French Polynesia ,Huanuco,HUU
 China ,Huargyan,HYN
 Mexico ,Huatulco,HUX
 Sweden ,Hudiksvall,HUV
 SK ,Hudson Bay,YHB
 Viet Nam ,Hue,HUI
 Australia ,Hughenden,HGD
 AK ,Hughes,HUS
 Sweden ,Hultsfred,HLF
 United Kingdom ,Humberside,HUY
 WV/Ashland,Huntington,HTS
 AL ,Huntsville,HSV
 Egypt ,Hurghada,HRG
 SD ,Huron,HON
 AK ,Huslia,HSL
 Zimbabwe ,Hwange Nat Park,HWN
 MA ,Hyannis,HYA
 AK ,Hydaburg,HYG
 India ,Hyderabad,HYD
 Romania ,Iasi,IAS
 Colombia ,Ibague,IBE
 Spain ,Ibiza,IBZ
 ID ,Idaho Falls,IDA
 Russia ,Igarka,IAA
 AK ,Igiugig,IGG
 NU ,Igloolik,YGT
 Brazil ,Iguassu Falls,IGU
 Argentina ,Iguazu,IGR
 Papua New Guinea ,Ihu,IHU
 New Caledonia ,Ile Des Pins,ILP
 QC ,Iles De La Madeleine,YGR
 MB ,Ilford,ILF
 Brazil ,Ilheus,IOS
 AK ,Iliamna,ILI
 Indonesia ,Illaga,ILA
 Philippines - Mandurriao ,Iloilo,ILO
 Indonesia ,Ilu,IUL
 Greenland ,Ilulissat,JAV
 Brazil ,Imperatriz,IMP
 CA ,Imperial,IPL
 India ,Imphal,IMF
 Algeria ,In Amenas,IAM
 Bahamas ,Inagua,IGA
 Indonesia ,Inanwatan,INX
 Papua New Guinea ,Indagen,IDN
 IN ,Indianapolis,IND
 India ,Indore,IDR
 ON - Rail service ,Ingersoll,XIB
 Austria ,Innsbruck,INN
 Russia ,Inta,INA
 MN ,International Falls,INL
 QC ,Inukjuak,YPH
 NT ,Inuvik,YEV
 New Zealand ,Invercargill,IVC
 Australia ,Inverell,IVR
 United Kingdom ,Inverness,INV
 CA ,Inyokern,IYK
 Greece ,Ioannina,IOA
 Papua New Guinea ,Ioma,IOP
 Brazil ,Ipatinga,IPN
 Colombia ,Ipiales,IPI
 Philippines ,Ipil,IPE
 Malaysia ,Ipoh,IPH
 Vanuatu ,Ipota,IPA
 NU ,Iqaluit,YFB
 Chile ,Iquique,IQQ
 Peru ,Iquitos,IQT
 Russia ,Irkutsk,IKT
 MI ,Iron Mountain,IMT
 MI ,Ironwood,IWD
 Iceland ,Isafjordur,IFJ
 Iran ,Isfahan,IFN
 Japan ,Ishigakij,ISG
 Pakistan ,Islamabad,ISB
,Island Lake/Garden Hill ,YIV
 Canada ,Island Lake/Garden Hill,YIV
 United Kingdom ,Islay,ILY
 United Kingdom ,Isle of Man,IOM
 United Kingdom - St Marys ,Isles of Scilly,ISC
 United Kingdom - Tresco ,Isles of Scilly,TSO
 NY ,Islip,ISP
 Turkey ,Istanbul,IST
 Brazil ,Itaituba,ITB
 NY ,Ithaca,ITH
 Papua New Guinea ,Itokama,ITK
 Finland ,Ivalo,IVL
 Ukraine ,Ivano-Frankovsk,IFO
 QC ,Ivujivik,YIK
 Japan ,Iwami,IWJ
 Mexico ,Ixtapa,ZIH
 Mexico ,Ixtepec,IZT
 Turkey ,Izmir,ADB
 Japan ,Izumo,IZO
 Marshall Islands ,Jabor,JAT
 Brazil ,Jacareacanga,JCR
 WY ,Jackson Hole,JAC
 MS ,Jackson,JAN
 TN ,Jackson,MKL
 FL ,Jacksonville,JAX
 NC ,Jacksonville,OAJ
 Pakistan ,Jacobabad,JAG
 Papua New Guinea ,Jacquinot Bay,JAQ
 India ,Jaipur,JAI
 Indonesia ,Jakarta,CGK
 Mexico ,Jalapa,JAL
 Marshall Islands ,Jaluit Island,UIT
,Jambi. Indonesia ,DJB
 ND ,Jamestown,JMS
 NY ,Jamestown,JHW
 India ,Jamnagar,JGA
 Nepal ,Janakpur,JKR
 WI ,Janesville,JVL
 Panama ,Jaque,JQE
 AB - Rail service ,Jasper,XDH
 Indonesia ,Jayapura,DJJ
 Saudi Arabia ,Jeddah,JED
 Marshall Islands ,Jeh,JEJ
 South Korea - Jeju Airport,Jeju,CJU
 Spain ,Jerez De La Frontere,XRY
 United Kingdom ,Jersey,JER
 Bangladesh ,Jessore,JSR
 China ,Jiamusi,JMU
 China ,Jiayuguan,JGN
 Algeria ,Jijel,GJL
 Ethiopia ,Jijiga,JIJ
 Ethiopia ,Jimma,JIM
 China ,Jinan,TNA
 China ,Jingdezhen,JDZ
 China ,Jinghong,JHG
 Uganda ,Jinja,JIN
 China ,Jinjiang,JJN
 South Korea - Sancheon ,Jinju,HIN
 Ethiopia ,Jinka,BCO
 China ,Jinzhou,JNZ
 Brazil ,Ji-Parana,JPR
 Pakistan ,Jiwani,JIW
 Brazil ,Joao Pessoa,JPA
 India ,Jodhpur,JDH
 Finland ,Joensuu,JOE
 South Africa ,Johannesburg,JNB
 NY ,Johnson City,BGM
 TN ,Johnson City,TRI
 US Minor Outlying Islands ,Johnston Island,JON
 PA ,Johnstown,JST
 Malaysia ,Johor,JHB
 Brazil ,Joinville,JOI
 QC - Rail service ,Joliette,XJL
 India ,Jommu,IXJ
 Nepal ,Jomsom,JMO
 AR ,Jonesboro,JBR
 Sweden ,Jonkoping,JKG
 QC - Rail service ,Jonquiere,XJQ
 MO ,Joplin,JLN
 India ,Jorhat,JRH
 Argentina ,Jose De San Martin,JSM
 Saudi Arabia ,Jouf,AJF
 Brazil ,Juazeiro Do Norte,JDO
 Germany ,Juist,JUI
 Brazil ,Juiz De Fora,JDF
 Argentina ,Jujuy,JUJ
 Australia ,Julia Creek,JCK
 Peru ,Juliaca,JUL
 AK ,Juneau,JNU
 China ,Juzha,JUZ
 Finland ,Jyvaskyla,JYV
 Maldives ,Kaadedhdhoo,KDM
 Marshall Islands ,Kaben,KBT
 Ethiopia ,Kabri Dar,ABK
 Afghanistan ,Kabul,KBL
 Papua New Guinea ,Kabwun,KBM
 Pakistan ,Kadanwari,KCF
 Maldives ,Kadhonoo,KDO
 Turkey ,Kahramanmaras,KCM
 HI - Island of Maui,Kahului,OGG
 Papua New Guinea ,Kaintiba,KZF
 New Zealand ,Kaitaia,KAT
 Finland ,Kajaani,KAJ
 AK ,Kake,KAE
 AK ,Kakhonak,KNK
 MI ,Kalamazoo,AZO
 HI - Island of Molokai,Kalaupapa,LUP
 Australia ,Kalbarri,KAX
 Russia ,Kaliningrad,KGD
 AK ,Kalskag,KLG
 AK ,Kaltag,KAL
 Indonesia ,Kambuaya,KBX
 Syrian Arab Republic ,Kameshli,KAC
 BC ,Kamloops,YKA
 HI - Island of Hawaii,Kamuela,MUE
 Indonesia ,Kamur,KCD
 Papua New Guinea ,Kamusi,KUY
 QC ,Kangiqsualujjuaq,XGR
 QC ,Kangiqsujuaq,YWB
 QC ,Kangirsuk,YKG
 Nigeria ,Kano,KAN
 MO ,Kansas City,MCI
 HI - Island of Maui,Kapalua,JHM
 ON ,Kapuskasing,YYU
 Pakistan - Quaid-E-Azam International ,Karachi,KHI
 Estonia ,Kardia,KDL
 Zimbabwe ,Kariba,KAB
 Germany ,Karlsruhe/Badern Baden,FKB
 Greece ,Karpathos,AOK
 Indonesia ,Karubaga,KBF
 AK ,Kasaan,KXA
 Zambia ,Kasaba Bay,ZKB
 ON ,Kasabonika,XKS
 Zambia ,Kasama,KAA
 Botswana ,Kasane,BBK
 ON ,Kaschechewan,ZKE
 AK ,Kasigluk,KUK
 Australia ,Katherine,KTR
 Nepal ,Kathmandu,KTM
 Poland ,Katowice,KTW
 HI ,Kauai Island/Lihue,LIH
 Lithuania ,Kaunas,KUN
 Greece ,Kavala,KVA
 Papua New Guinea ,Kavieng,KVG
 Myanmar ,Kawthaung,KAW
 Turkey ,Kayseri,ASR
 Russia ,Kazan,KZN
 NE ,Kearney,EAR
 NH ,Keene,EEN
 ON ,Keewaywin,KEW
 Greece ,Kefallinia,EFL
 QC ,Kegaska,ZKG
 BC ,Kelowna,YLW
 AK ,Kenai,ENA
 Indonesia ,Kendari,KDI
 ON ,Kenora,YQK
 Greece ,Kerkyra,CFU
 AK ,Ketchikan,KTN
 FL ,Key West,EYW
 CO - Van service ,Keystone,QKS
 India ,Khajuraho,HJR
 Egypt ,Kharga,UVL
 Ukraine ,Kharkov,HRK
 Tajikistan ,Khudzhand,LBD
 Pakistan ,Khuzdar,KDD
 AK ,Kiana,IAN
 Ukraine - Borispol ,Kiev,KBP
 Ukraine - Zhulhany ,Kiev,IEV
 Rwanda ,Kigali,KGL
 Tanzania ,Kigoma,TKQ
 TX ,Kilgore/Gladewater,GGG
 Tanzania ,Kilimanjaro,JRO
 TX ,Killeen,ILE
,Kimmirut/Lake Harbour NU ,YLC
 Canada ,Kimmirut/Lake Harbour,YLC
 AK ,King Cove,KVC
 AK ,King Salmon,AKN
 ON ,Kingfisher Lake,KIF
 AZ ,Kingman,IGM
 TN ,Kingsport,TRI
 Jamaica - Norman Manley ,Kingston,KIN
 Jamaica - Tinson ,Kingston,KTP
 ON - Norman Rogers Airport ,Kingston,YGK
 ON - Rail service ,Kingston,XEG
 Congo ,Kinshasa,FIH
 AK ,Kipnuk,KPN
 Solomon Islands ,Kirakira,IRA
 MO ,Kirksville,IRK
 Japan ,Kitadaito,KTD
 ON ,Kitchener,YKF
 Finland ,Kittila,KTT
 Papua New Guinea ,Kiunga,UNG
 AK ,Kivalina,KVL
 Kenya ,Kiwayu,KWY
 OR ,Klamath Falls,LMT
 AK ,Klawock,KLW
 BC ,Klemtu,YKT
 Ireland ,Knock,NOC
 TN ,Knoxville,TYS
 AK ,Kobuk,OBU
 Japan ,Kochi,KCZ
 AK ,Kodiak,ADQ
 Thailand ,Koh Samui,USM
 India ,Kolkata,CCU
 Poland ,Kolobrzeg,QJY
 Russia ,Komsomolsk Na Amure,KXK
 HI - Island of Hawaii ,Kona,KOA
 AK ,Kongiganak,KKH
 Turkey ,Konya,KYA
 Palau ,Koror,ROR
 Poland ,Koszalin,OSZ
 Malaysia ,Kota Bharu,KBR
 Malaysia ,Kota Kinabalu,BKI
 AK ,Kotlik,KOT
